"id","category","name","price","salePrice","sale","url"
"36","Consoles","PS3 SUPER SLIM 500 GB +MOVE +KAMERA + 2 X PAD+GRY","569,00 zł","899,00 zł","-36%","https://allegro.pl/oferta/ps3-super-slim-500-gb-move-kamera-2-x-pad-gry-9379601011"
"37","Consoles","KONSOLA PRZENOŚNA RX7 - 300 GIER PSP RETRO MP5","219,00 zł z kurierem","399,00 zł","-45%","https://allegro.pl/oferta/konsola-przenosna-rx7-300-gier-psp-retro-mp5-9433375609"
"38","Consoles","KONSOLA przenośna RETRO RONEBERG RX9 20000 GIER","199,00 zł z kurierem","399,00 zł","-50%","https://allegro.pl/oferta/konsola-przenosna-retro-roneberg-rx9-20000-gier-9433336035"
"39","Consoles","Kontroler MICROSOFT XBOX ONE Elite 2","729,00 zł","799,00 zł","-8%","https://allegro.pl/oferta/kontroler-microsoft-xbox-one-elite-2-8637675157"
"40","Consoles","Mini Konsola Przenośna RONEBERG 2019 - 400 GIER!","88,00 zł z kurierem","399,00 zł","-77%","https://allegro.pl/oferta/mini-konsola-przenosna-roneberg-2019-400-gier-7878310006"
"41","Consoles","Konsola bezprzewodowa HD RETRO GRY PS3000 EMULATOR","259,00 zł","349,00 zł","-25%","https://allegro.pl/events/clicks?emission_unit_id=7d55fead-f112-4832-a186-5bdc1a4e1ef0&emission_id=8e69a233-d29d-4702-8acd-9053d2a9c1e3&type=OFFER&ts=1616081353072&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkonsola-bezprzewodowa-hd-retro-gry-ps3000-emulator-10504393568%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Acategory%26bi_c%3DMWM0Zjc2NzAtZTZmZi00M2M3LWFhMzItNjQ3NTFiZGUzZDVkAA%26bi_t%3Dape&placement=listing:desktop:category&sig=dd74e5afc129d5533b935129b784f0d6"
"42","Consoles","KONSOLA PRZENOŚNA X19 PLUS - PSP RETRO 10TYS. GIER","249,99 zł z kurierem","399,00 zł","-37%","https://allegro.pl/oferta/konsola-przenosna-x19-plus-psp-retro-10tys-gier-9992063202"
"43","Consoles","MINI KONSOLA PEGASUS 400 GIER GAMEBOY","51,00 zł z kurierem","199,00 zł","-74%","https://allegro.pl/oferta/mini-konsola-pegasus-400-gier-gameboy-9627113291"
"44","Consoles","Kontroler MICROSOFT XBOX ONE Elite 2","729,00 zł","799,00 zł","-8%","https://allegro.pl/oferta/kontroler-microsoft-xbox-one-elite-2-9784007487"
"45","Consoles","KONTROLER PAD BEZPRZEWODOWY XBOX 360 DUALSHOCK","109,90 zł","139,00 zł","-20%","https://allegro.pl/oferta/kontroler-pad-bezprzewodowy-xbox-360-dualshock-9431686480"
"46","Consoles","ZESTAW XBOX 360 SLIM 4gb + PAD+GRY+HDMI","299,00 zł","499,00 zł","-40%","https://allegro.pl/oferta/zestaw-xbox-360-slim-4gb-pad-gry-hdmi-7781717443"
"47","Consoles","ŁADOWARKA STACJA DOKUJĄCA BIAŁA XBOX SERIES X","139,90 zł","159,90 zł","-12%","https://allegro.pl/oferta/ladowarka-stacja-dokujaca-biala-xbox-series-x-10110142802"
"48","Consoles","NOWA KONSOLA NINTENDO SWITCH NEON V2 NOWY MODEL","1 509,00 zł","1699,00 zł","-11%","https://allegro.pl/oferta/nowa-konsola-nintendo-switch-neon-v2-nowy-model-9709160142"
"49","Consoles","Mini KONSOLA RETRO PRZENOŚNA 3'' PEGASUS 400 GIER","40,00 zł z kurierem","99,00 zł","-59%","https://allegro.pl/oferta/mini-konsola-retro-przenosna-3-pegasus-400-gier-8541717817"
"50","Consoles","KONTROLER PAD BEZPRZEWODOWY XBOX 360 DUALSHOCK","109,90 zł","139,00 zł","-20%","https://allegro.pl/oferta/kontroler-pad-bezprzewodowy-xbox-360-dualshock-9431671299"
"51","Consoles","NAKŁADKI GUMKI GRIPY ANALOGI PADA PS4 PS3 XBOX ONE","5,99 zł z kurierem","39,00 zł","-84%","https://allegro.pl/oferta/nakladki-gumki-gripy-analogi-pada-ps4-ps3-xbox-one-9259509797"
